TIME,LATITUDE,LONGITUDE,PCI,EARFCN,BAND,RSRP,RSRQ,SINR,LTE_EARFCN_N1,LTE_BAND_N1,LTE_PCI_N1,LTE_RSRP_N1,LTE_RSRQ_N1,LTE_EARFCN_N2,LTE_BAND_N2,LTE_PCI_N2,LTE_RSRP_N2,LTE_RSRQ_N2,LTE_EARFCN_N3,LTE_BAND_N3,LTE_PCI_N3,LTE_RSRP_N3,LTE_RSRQ_N3,LTE_EARFCN_N4,LTE_BAND_N4,LTE_PCI_N4,LTE_RSRP_N4,LTE_RSRQ_N4,LTE_EARFCN_N5,LTE_BAND_N5,LTE_PCI_N5,LTE_RSRP_N5,LTE_RSRQ_N5,LTE_EARFCN_N6,LTE_BAND_N6,LTE_PCI_N6,LTE_RSRP_N6,LTE_RSRQ_N6,LTE_EARFCN_N7,LTE_BAND_N7,LTE_PCI_N7,LTE_RSRP_N7,LTE_RSRQ_N7,LTE_EARFCN_N8,LTE_BAND_N8,LTE_PCI_N8,LTE_RSRP_N8,LTE_RSRQ_N8,LTE_EARFCN_N9,LTE_BAND_N9,LTE_PCI_N9,LTE_RSRP_N9,LTE_RSRQ_N9,LTE_EARFCN_N10,LTE_BAND_N10,LTE_PCI_N10,LTE_RSRP_N10,LTE_RSRQ_N10,LTE_EARFCN_N11,LTE_BAND_N11,LTE_PCI_N11,LTE_RSRP_N11,LTE_RSRQ_N11,LTE_EARFCN_N12,LTE_BAND_N12,LTE_PCI_N12,LTE_RSRP_N12,LTE_RSRQ_N12,ISP,Band_Label,cell_count,interference
20250314 13:21:26.261,31.02425152872658,121.43237276685906,114,350.0,B1,-82.4,-5.4,10.7,350.0,B1,473.0,-91.8,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-93.10000000000001
20250314 13:21:26.771,31.02425152872658,121.43237276685906,114,350.0,B1,-83.8,-10.6,7.3,350.0,B1,473.0,-92.3,-18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-91.1
20250314 13:21:28.297,31.02425152872658,121.43237276685906,114,350.0,B1,-81.6,-9.7,7.8,350.0,B1,473.0,-91.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-89.39999999999999
20250314 13:21:29.323,31.02425152872658,121.43237276685906,114,350.0,B1,-81.8,-6.0,11.6,350.0,B1,473.0,-87.8,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-93.39999999999999
20250314 13:21:30.868,31.02425152872658,121.43237276685906,114,350.0,B1,-81.8,-10.3,9.5,350.0,B1,473.0,-89.4,-17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-91.3
20250314 13:21:31.377,31.02425152872658,121.43237276685906,114,350.0,B1,-81.6,-7.4,14.4,350.0,B1,473.0,-89.7,-16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-96.0
20250314 13:21:31.886,31.02425152872658,121.43237276685906,114,350.0,B1,-80.8,-5.9,6.3,350.0,B1,473.0,-88.2,-15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-87.1
20250314 13:21:32.394,31.02425152872658,121.43237276685906,114,350.0,B1,-81.6,-5.8,8.7,350.0,B1,473.0,-87.3,-16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,1,-90.3
20250314 13:21:32.903,31.02425152872658,121.43237276685906,114,350.0,B1,-83.4,-5.3,11.9,350.0,B1,473.0,-89.5,-16.2,350.0,B1,492.0,-95.8,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,2,-95.30000000000001
20250314 13:21:33.411,31.02425152872658,121.43237276685906,114,350.0,B1,-81.7,-6.7,11.7,350.0,B1,473.0,-90.4,-18.8,350.0,B1,492.0,-94.4,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP2_3,b1-f1,2,-93.4
