TIME,LATITUDE,LONGITUDE,NR_ARFCN,NR_BAND,NR_PCI,SS_RSRP,SS_RSRQ,SS_SINR,NR_ARFCN_N1,NR_BAND_N1,NR_PCI_N1,NR_RSRP_N1,NR_RSRQ_N1,NR_ARFCN_N2,NR_BAND_N2,NR_PCI_N2,NR_RSRP_N2,NR_RSRQ_N2,NR_ARFCN_N3,NR_BAND_N3,NR_PCI_N3,NR_RSRP_N3,NR_RSRQ_N3,NR_ARFCN_N4,NR_BAND_N4,NR_PCI_N4,NR_RSRP_N4,NR_RSRQ_N4,NR_ARFCN_N5,NR_BAND_N5,NR_PCI_N5,NR_RSRP_N5,NR_RSRQ_N5,NR_ARFCN_N6,NR_BAND_N6,NR_PCI_N6,NR_RSRP_N6,NR_RSRQ_N6,NR_ARFCN_N7,NR_BAND_N7,NR_PCI_N7,NR_RSRP_N7,NR_RSRQ_N7,NR_ARFCN_N8,NR_BAND_N8,NR_PCI_N8,NR_RSRP_N8,NR_RSRQ_N8,NR_ARFCN_N9,NR_BAND_N9,NR_PCI_N9,NR_RSRP_N9,NR_RSRQ_N9,NR_ARFCN_N10,NR_BAND_N10,NR_PCI_N10,NR_RSRP_N10,NR_RSRQ_N10,NR_ARFCN_N11,NR_BAND_N11,NR_PCI_N11,NR_RSRP_N11,NR_RSRQ_N11,NR_ARFCN_N12,NR_BAND_N12,NR_PCI_N12,NR_RSRP_N12,NR_RSRQ_N12,ISP,Band_Label,cell_count,interference
20250219 15:31:37.600,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-84.6,-10.5,9.4,504990.0,N41,395.0,-92.8,-14.0,504990.0,N41,170.0,-94.2,-12.4,504990.0,N41,111.0,-100.8,-21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,3,-94.0
20250219 15:31:38.609,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-80.4,-10.5,22.2,504990.0,N41,395.0,-91.1,-13.2,504990.0,N41,170.0,-98.7,-20.9,504990.0,N41,111.0,-104.4,-27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,3,-102.60000000000001
20250219 15:31:39.619,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-80.3,-10.5,23.5,504990.0,N41,395.0,-90.5,-15.2,504990.0,N41,170.0,-124.4,-35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,2,-103.8
20250219 15:31:40.634,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-78.5,-10.5,24.4,504990.0,N41,395.0,-93.8,-15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,1,-102.9
20250219 15:31:41.642,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-78.8,-10.5,27.5,504990.0,N41,395.0,-95.6,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,1,-106.3
20250219 15:31:42.651,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-78.6,-10.5,25.3,504990.0,N41,395.0,-110.3,-28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,1,-103.89999999999999
20250219 15:31:43.660,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-76.7,-10.5,29.6,504990.0,N41,170.0,-138.7,-42.3,504990.0,N41,395.0,-140.0,-43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,2,-106.30000000000001
20250219 15:31:44.668,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-76.9,-10.5,29.6,504990.0,N41,395.0,-110.7,-29.1,504990.0,N41,170.0,-139.8,-42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,2,-106.5
20250219 15:31:46.682,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-83.9,-10.4,21.2,504990.0,N41,395.0,-139.1,-42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,1,-105.10000000000001
20250219 15:31:47.689,31.029074183290483,121.44407341526605,504990.0,N41,519.0,-71.4,-10.3,26.1,504990.0,N41,395.0,-90.0,-21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISP1,n41-f1,1,-97.5
